Number of Immigrants,ID_Country,ID_Year,ID_Immigrants
62,13,1,1
326,13,2,2
435,13,3,3
325,13,4,4
291,13,5,5
427,13,6,6
398,13,7,7
363,13,8,8
505,13,9,9
665,13,10,10
515,13,11,11
420,13,12,12
337,13,13,13
495,13,14,14
693,13,15,15
4255,13,16,16
1998,13,17,17
1154,13,18,18
664,13,19,19
547,13,20,20
559,13,21,21
1274,13,22,22
1457,13,23,23
2107,13,24,24
2598,13,25,25
2809,13,26,26
1625,13,27,27
892,13,28,28
1616,13,29,29
2158,13,30,30
1960,13,31,31
1577,13,32,32
1036,13,33,33
949,13,34,34
1165,13,35,35
1283,13,36,36
841,13,37,37
836,13,38,38
772,13,39,39
1078,13,40,40
1546,13,41,41
1853,13,42,42
2045,13,43,43
666,13,44,44
356,13,45,45
375,13,46,46
538,13,47,47
966,13,48,48
1370,13,49,49
1255,13,50,50
738,13,51,51
936,13,52,52
1053,13,53,53
1375,13,54,54
5931,13,55,55
1371,13,56,56
458,13,57,57
397,13,58,58
299,13,59,59
315,13,60,60
188,13,61,61
311,13,62,62
351,13,63,63
220,13,64,64
0,13,65,65
0,13,66,66
276,13,67,67
262,13,68,68
270,13,69,69
247,13,70,70
283,13,71,71
411,13,72,72
544,13,73,73
900,13,74,74
958,13,75,75
336,1,1,76
659,1,2,77
888,1,3,78
618,1,4,79
353,1,5,80
234,1,6,81
349,1,7,82
380,1,8,83
209,1,9,84
313,1,10,85
409,1,11,86
379,1,12,87
462,1,13,88
348,1,14,89
677,1,15,90
968,1,16,91
1122,1,17,92
1016,1,18,93
826,1,19,94
739,1,20,95
1035,1,21,96
6419,1,22,97
7158,1,23,98
8122,1,24,99
6034,1,25,100
4786,1,26,101
3393,1,27,102
3065,1,28,103
2979,1,29,104
2906,1,30,105
3285,1,31,106
3273,1,32,107
2550,1,33,108
2670,1,34,109
2934,1,35,110
3806,1,36,111
2827,1,37,112
2090,1,38,113
2179,1,39,114
1986,1,40,115
1700,1,41,116
1533,1,42,117
1546,1,43,118
1703,1,44,119
2068,1,45,120
2280,1,46,121
2398,1,47,122
2503,1,48,123
2262,1,49,124
2057,1,50,125
1793,1,51,126
1697,1,52,127
1401,1,53,128
1386,1,54,129
1664,1,55,130
1873,1,56,131
2132,1,57,132
2640,1,58,133
2095,1,59,134
1903,1,60,135
2286,1,61,136
3260,1,62,137
2801,1,63,138
2575,1,64,139
2525,1,65,140
2414,1,66,141
2349,1,67,142
2789,1,68,143
2569,1,69,144
2847,1,70,145
2759,1,71,146
2481,1,72,147
2284,1,73,148
4400,1,74,149
3351,1,75,150
1175,11,1,151
3255,11,2,152
290,11,3,153
196,11,4,154
74,11,5,155
45,11,6,156
30,11,7,157
139,11,8,158
470,11,9,159
1324,11,10,160
729,11,11,161
1362,11,12,162
1923,11,13,163
224,11,14,164
194,11,15,165
314,11,16,166
541,11,17,167
895,11,18,168
2054,11,19,169
1403,11,20,170
224,11,21,171
3019,11,22,172
992,11,23,173
12839,11,24,174
31652,11,25,175
33477,11,26,176
16816,11,27,177
8531,11,28,178
7279,11,29,179
8348,11,30,180
12192,11,31,181
17614,11,32,182
7570,11,33,183
1770,11,34,184
782,11,35,185
399,11,36,186
367,11,37,187
362,11,38,188
202,11,39,189
2096,11,40,190
2283,11,41,191
12932,11,42,192
185227,11,43,193
147839,11,44,194
65093,11,45,195
66145,11,46,196
68079,11,47,197
64848,11,48,198
59048,11,49,199
54621,11,50,200
46032,11,51,201
66848,11,52,202
50817,11,53,203
33601,11,54,204
18508,11,55,205
12383,11,56,206
10127,11,57,207
9378,11,58,208
533,11,59,209
6646,11,60,210
5616,11,61,211
6948,11,62,212
7158,11,63,213
7225,11,64,214
7234,11,65,215
7280,11,66,216
11456,11,67,217
14096,11,68,218
14668,11,69,219
16183,11,70,220
18887,11,71,221
24284,11,72,222
10975,11,73,223
10500,11,74,224
62759,11,75,225
501,2,1,226
796,2,2,227
662,2,3,228
347,2,4,229
257,2,5,230
192,2,6,231
181,2,7,232
204,2,8,233
176,2,9,234
223,2,10,235
227,2,11,236
229,2,12,237
268,2,13,238
235,2,14,239
363,2,15,240
536,2,16,241
408,2,17,242
356,2,18,243
351,2,19,244
299,2,20,245
467,2,21,246
1763,2,22,247
1585,2,23,248
1381,2,24,249
1030,2,25,250
760,2,26,251
832,2,27,252
707,2,28,253
592,2,29,254
840,2,30,255
1005,2,31,256
1058,2,32,257
900,2,33,258
882,2,34,259
1154,2,35,260
1294,2,36,261
786,2,37,262
577,2,38,263
568,2,39,264
577,2,40,265
528,2,41,266
452,2,42,267
488,2,43,268
472,2,44,269
459,2,45,270
647,2,46,271
626,2,47,272
669,2,48,273
547,2,49,274
487,2,50,275
393,2,51,276
383,2,52,277
326,2,53,278
308,2,54,279
277,2,55,280
330,2,56,281
363,2,57,282
383,2,58,283
506,2,59,284
509,2,60,285
505,2,61,286
684,2,62,287
523,2,63,288
485,2,64,289
569,2,65,290
403,2,66,291
448,2,67,292
623,2,68,293
556,2,69,294
468,2,70,295
514,2,71,296
498,2,72,297
443,2,73,298
630,2,74,299
568,2,75,300
40,12,1,301
1,12,2,302
5,12,3,303
1,12,4,304
40,12,5,305
3,12,6,306
13,12,7,307
25,12,8,308
1,12,9,309
5,12,10,310
4,12,11,311
3,12,12,312
3,12,13,313
2,12,14,314
11,12,15,315
17,12,16,316
8,12,17,317
9,12,18,318
21,12,19,319
13,12,20,320
17,12,21,321
14,12,22,322
13,12,23,323
7,12,24,324
40,12,25,325
41,12,26,326
24,12,27,327
19,12,28,328
10,12,29,329
90,12,30,330
37,12,31,331
45,12,32,332
259,12,33,333
650,12,34,334
950,12,35,335
2393,12,36,336
8327,12,37,337
1886,12,38,338
236,12,39,339
231,12,40,340
595,12,41,341
1448,12,42,342
4121,12,43,343
20014,12,44,344
3648,12,45,345
863,12,46,346
1197,12,47,347
1312,12,48,348
1411,12,49,349
1661,12,50,350
3110,12,51,351
2290,12,52,352
2201,12,53,353
3274,12,54,354
2656,12,55,355
3029,12,56,356
3695,12,57,357
3571,12,58,358
3595,12,59,359
3585,12,60,360
1582,12,61,361
243,12,62,362
1652,12,63,363
2666,12,64,364
2432,12,65,365
1355,12,66,366
213,12,67,367
91,12,68,368
43,12,69,369
43,12,70,370
31,12,71,371
43,12,72,372
187,12,73,373
1636,12,74,374
16,12,75,375
178,5,1,376
228,5,2,377
205,5,3,378
72,5,4,379
51,5,5,380
46,5,6,381
73,5,7,382
111,5,8,383
234,5,9,384
96,5,10,385
106,5,11,386
114,5,12,387
154,5,13,388
116,5,14,389
195,5,15,390
409,5,16,391
381,5,17,392
310,5,18,393
301,5,19,394
233,5,20,395
160,5,21,396
715,5,22,397
803,5,23,398
647,5,24,399
605,5,25,400
577,5,26,401
432,5,27,402
415,5,28,403
585,5,29,404
1448,5,30,405
1403,5,31,406
978,5,32,407
346,5,33,408
220,5,34,409
271,5,35,410
324,5,36,411
281,5,37,412
246,5,38,413
565,5,39,414
737,5,40,415
487,5,41,416
262,5,42,417
175,5,43,418
135,5,44,419
267,5,45,420
437,5,46,421
595,5,47,422
287,5,48,423
299,5,49,424
290,5,50,425
204,5,51,426
228,5,52,427
192,5,53,428
158,5,54,429
177,5,55,430
88,5,56,431
82,5,57,432
102,5,58,433
139,5,59,434
159,5,60,435
257,5,61,436
319,5,62,437
266,5,63,438
202,5,64,439
0,5,65,440
0,5,66,441
157,5,67,442
189,5,68,443
245,5,69,444
281,5,70,445
256,5,71,446
343,5,72,447
268,5,73,448
550,5,74,449
419,5,75,450
640,10,1,451
1665,10,2,452
672,10,3,453
401,10,4,454
246,10,5,455
196,10,6,456
201,10,7,457
206,10,8,458
199,10,9,459
267,10,10,460
274,10,11,461
326,10,12,462
371,10,13,463
372,10,14,464
580,10,15,465
546,10,16,466
731,10,17,467
830,10,18,468
700,10,19,469
893,10,20,470
