Year,Country of origin,Country of origin (ISO),Country of asylum,Country of asylum (ISO),Total
1952,Palestinian,PSE,Jordan,JOR,472647
1952,Palestinian,PSE,Lebanon,LBN,103137
1952,Palestinian,PSE,Syrian Arab Rep.,SYR,85660
1952,Palestinian,PSE,State of Palestine,PSE,206014
1953,Palestinian,PSE,Jordan,JOR,479243
1953,Palestinian,PSE,Lebanon,LBN,100942
1953,Palestinian,PSE,Syrian Arab Rep.,SYR,85182
1953,Palestinian,PSE,State of Palestine,PSE,209229
1954,Palestinian,PSE,Jordan,JOR,493109
1954,Palestinian,PSE,Lebanon,LBN,102851
1954,Palestinian,PSE,Syrian Arab Rep.,SYR,86669
1954,Palestinian,PSE,State of Palestine,PSE,212620
1955,Palestinian,PSE,Jordan,JOR,505704
1955,Palestinian,PSE,Lebanon,LBN,101536
1955,Palestinian,PSE,Syrian Arab Rep.,SYR,88958
1955,Palestinian,PSE,State of Palestine,PSE,216227
1956,Palestinian,PSE,Jordan,JOR,511413
1956,Palestinian,PSE,Lebanon,LBN,103167
1956,Palestinian,PSE,Syrian Arab Rep.,SYR,90919
1956,Palestinian,PSE,State of Palestine,PSE,219423
1957,Palestinian,PSE,Jordan,JOR,534604
1957,Palestinian,PSE,Lebanon,LBN,108748
1957,Palestinian,PSE,Syrian Arab Rep.,SYR,97007
1957,Palestinian,PSE,State of Palestine,PSE,227427
1958,Palestinian,PSE,Jordan,JOR,586706
1958,Palestinian,PSE,Lebanon,LBN,129228
1958,Palestinian,PSE,Syrian Arab Rep.,SYR,109506
1958,Palestinian,PSE,State of Palestine,PSE,245343
1959,Palestinian,PSE,Jordan,JOR,604236
1959,Palestinian,PSE,Lebanon,LBN,134569
1959,Palestinian,PSE,Syrian Arab Rep.,SYR,112949
1959,Palestinian,PSE,State of Palestine,PSE,251976
1960,Palestinian,PSE,Jordan,JOR,623660
1960,Palestinian,PSE,Lebanon,LBN,137884
1960,Palestinian,PSE,Syrian Arab Rep.,SYR,116778
